City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,donghai,22.9459,115.642,27.77,56,22,5.5,CN,1715316017
168,sinabang,2.4803,96.3801,29.8,75,100,1.36,ID,1715316017
169,puerto morazan,12.8504,-87.1717,27.95,82,77,1.08,NI,1715316019
170,badger,64.8,-147.5333,9.14,79,100,4.12,US,1715316010
171,priozersk,61.0393,30.1291,7.27,81,98,3.69,RU,1715316020
172,eyl,7.9803,49.8164,29.74,72,70,2.91,SO,1715316021
173,iskateley,67.6803,53.1512,-1.66,95,100,11.62,RU,1715316022
174,darhan,49.4867,105.9228,11.69,29,100,9.97,MN,1715316023
175,mahajanga,-15.7167,46.3167,25.01,61,20,4.12,MG,1715316023
176,howard springs,-12.497,131.047,34.9,60,10,4.31,AU,1715316024
177,as sulayyil,20.4607,45.5779,28.14,21,69,7.2,SA,1715316025
178,areka,7.0667,37.7,18.85,83,87,1.25,ET,1715316026
179,itamaraca,-7.7478,-34.8256,26.03,81,7,4.19,BR,1715316027
180,haiku-pauwela,20.9219,-156.3051,22.9,93,75,5.14,US,1715316028
181,saint pete beach,27.7253,-82.7412,27.01,86,0,2.06,US,1715316028
182,bouca,6.5105,18.2733,23.98,77,97,1.63,CF,1715316029
183,porto novo,6.4965,2.6036,28.9,82,100,2.31,BJ,1715316030
184,lerwick,60.1545,-1.1494,9.0,98,100,6.82,GB,1715316031
185,avarua,-21.2078,-159.775,27.03,94,75,5.66,CK,1715316032
186,sherpur,25.0188,90.0175,31.58,47,71,4.85,BD,1715316032
187,kourou,5.1552,-52.6478,25.03,93,100,1.75,GF,1715316033
188,vorgashor,67.5833,63.95,-2.33,74,100,8.8,RU,1715316034
189,yantarnyy,54.8717,19.9381,8.92,98,100,8.72,RU,1715316034
190,jhelum,32.9331,73.7264,36.43,26,79,6.13,PK,1715316035
191,dryden,49.7833,-92.7503,11.16,37,0,3.6,CA,1715316036
192,muang khong,14.1167,105.85,39.12,29,55,1.54,LA,1715316037
193,kruisfontein,-34.0033,24.7314,9.94,90,0,1.76,ZA,1715316037
194,fort bragg,35.139,-79.006,21.91,84,0,6.17,US,1715316038
195,palikir - national government center,6.9248,158.1611,28.41,84,100,2.06,FM,1715316039
196,copala,16.65,-98.9833,24.84,73,100,1.49,MX,1715316039
197,phalaborwa,-23.943,31.1411,15.99,51,0,2.07,ZA,1715316040
198,peniche,39.3558,-9.3811,17.28,96,100,1.45,PT,1715316041
199,visakhapatnam,17.69,83.2093,31.94,70,40,4.12,IN,1715316042
200,sarmiento,-45.5882,-69.07,2.36,97,100,4.83,AR,1715316042
201,santa marta de ortigueira,43.6833,-7.85,13.39,97,34,1.54,ES,1715316043
202,nova sintra,14.8667,-24.7167,23.76,78,35,9.35,CV,1715316044
203,klyuchi,52.2667,79.1667,19.14,60,100,3.49,RU,1715316044
204,ak'ordat,15.5486,37.8867,30.26,49,98,0.8,ER,1715316045
205,leander,30.5788,-97.8531,22.86,92,37,3.13,US,1715315947
206,naze,28.3667,129.4833,23.51,51,100,4.17,JP,1715316047
207,dingle,10.9995,122.6711,36.73,35,23,6.35,PH,1715316047
208,tutoia,-2.7619,-42.2744,26.14,88,99,2.24,BR,1715316048
209,magadan,59.5667,150.8,3.63,83,40,3.36,RU,1715316049
210,vordingborg,55.008,11.9106,12.23,92,93,5.45,DK,1715316049
211,ambovombe,-25.1667,46.0833,21.77,73,0,2.12,MG,1715316050
212,darwin,-12.4611,130.8418,34.94,46,0,3.09,AU,1715316051
213,yeppoon,-23.1333,150.7333,25.7,70,85,8.03,AU,1715316052
214,huilong,31.8111,121.655,21.5,62,0,9.93,CN,1715316052
215,tacuarembo,-31.7333,-55.9833,9.53,78,100,1.95,UY,1715315905
216,fuglafjordur,62.244,-6.814,9.26,96,100,2.89,FO,1715316054
217,mejit,10.2753,170.8646,27.31,83,98,9.04,MH,1715316054
218,keetmanshoop,-26.5833,18.1333,21.51,56,38,6.17,NA,1715316055
219,sumenep,-7.0167,113.8667,29.99,71,82,5.87,ID,1715316056
220,laguna,38.421,-121.4238,23.98,39,0,3.09,US,1715315818
221,buulobarde,3.8538,45.5674,28.26,70,97,6.63,SO,1715316058
222,pasighat,28.0667,95.3333,29.85,44,100,2.31,IN,1715316059
223,auki,-8.7676,160.7034,25.45,94,100,0.34,SB,1715316059
224,marolambo,-20.05,48.1167,19.96,95,61,1.21,MG,1715316060
225,arno,60.1167,18.6333,4.32,67,55,8.3,SE,1715316061
226,nola,40.922,14.5329,18.68,82,82,2.37,IT,1715316062
227,mundybash,53.211,87.2983,23.38,37,95,2.93,RU,1715316062
228,punta arenas,-53.15,-70.9167,-0.94,93,40,2.57,CL,1715315868
